"Maib Payment Gateway Module","Modulul Maib Payment Gateway"
"Enabled","Activ"
"Sort Order","Ordinea de apariție"
"Project ID","ID proiect"
"Project ID from maibmerchants.md","ID-ul proiectului din maibmerchants.md"
"Project Secret","Parola proiectului"
"Project Secret from maibmerchants.md. It is available after project activation.","Parola proiectului din maibmerchants.md. Este disponibilă după activarea proiectului."
"Project Signature","Cheia semnăturii"
"Signature Key for validating notifications на Callback URL. It is available after project activation.","Cheia semnăturii pentru validarea notificărilor на Callback URL. Este disponibilă după activarea proiectului."
"OK URL","Ok URL"
"Add this link to the Ok URL field in the maibmerchants Project settings","Adăugați acest link în câmpul Ok URL din setările Proiectului în maibmerchants."
"Fail URL","Fail URL"
"Add this link to the Fail URL field in the maibmerchants Project settings.","Adăugați acest link în câmpul Fail URL din setările Proiectului în maibmerchants."
"Callback URL","Callback URL"
"Add this link to the Callback URL field in the maibmerchants Project settings.","Adăugați acest link în câmpul Callback URL din setările Proiectului în maibmerchants."
"Configuration Order Status","Setãri stare comandã"
"Pending Status","Platã în așteptare"
"Completed Status","Platã cu succes"
"Failed Status","Platã eșuatã"
"Refunded Status","Platã returnatã"
"For payment refund, update the order status to the selected status. The funds will be returned to the customer card.","Pentru returnarea plății, actualizați starea comenzii la starea selectată. Suma va fi returnatã pe cardul clientului."
"Error callback URL","Acest Callback URL funcționează și nu poate fi accesat direct!"
"Payment failed! Please try again.","Plata a eșuat! Vă rugăm să încercați din nou."
"Error no payment","Plata a eșuat! Vă rugăm să încercați din nou."
"No valid response from maib API, order_id: %1","Niciun răspuns valid de la maib API, ID comanda: %1"
"No transaction ID found for capture.","Nu a fost găsit niciun ID de tranzacție pentru capturare."
"Already refunded payment %1 for order %2","Plata %1 a fost deja rambursată pentru comanda %2"
"Failed refund payment %1 for order %2","Plata de rambursare eșuată %1 pentru comanda %2"
